Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arab World,ARB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,73.6758978,74.92805884,76.25540041,77.12980454,78.11414458,79.08985884,79.88324896,80.60340138,81.24389727,81.84498228,82.40764728,82.8276357,83.16922699,83.58714087,83.95429347,84.2306295,84.5704252,,
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,74.38423904,74.38222009,74.31316029,75.34932484,75.78852169,76.21413797,77.20514987,77.57372994,78.39551105,78.96553167,78.76232978,80.14925651,80.35997843,81.35478764,82.66240234,83.68757621,85.80029613,84.73572324,85.43282681,85.18981512,86.13613365,86.78268328,87.28824394,88.38970515,88.07677414,88.51796739,88.76865402,,
Arab World,ARB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,57.77027344,61.40569858,61.96059245,63.04709764,63.5731154,64.03852769,65.53209639,66.16547008,67.55496263,68.45192666,66.79889395,69.30312387,67.17961394,68.6430624,69.13604402,68.98945175,74.60052987,71.48721836,73.40227703,73.53049365,74.54348901,75.77097225,76.77291635,78.83913867,77.48737669,78.56443909,78.95877996,,
Arab World,ARB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.29546373,92.27267695,91.59867344,92.42558446,92.62878499,92.86280083,93.07315707,93.21114364,93.38942518,93.53196399,94.36605831,93.84702822,93.88361852,94.12555378,94.86900598,94.84632906,95.64934452,95.52500322,95.69083191,95.12606247,95.83790056,95.98587889,96.00604,96.38606785,96.4114315,96.57402076,96.70439342,,
Arab World,ARB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,22.2605381,,,30.27713013,,,37.16521072,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,13.77581501,,,22.07934952,,,25.63540268,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,30.37766838,,,37.79076385,,,48.32851791,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,,,25.74128532,,,34.21658325,,,42.54204559,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,16.06778145,,,22.77989006,,,27.72478104,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,,,14.05165958,,,21.27804184,,,26.45811081,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,,,26.42108536,,,35.23748016,,,43.44695282,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,,,30.7071991,,,38.90061188,,,48.66697693,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,,,14.61089516,,,21.25614166,,,20.95479965,
Arab World,ARB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,-5.655291836,6.543466076,5.49321819,5.195238399,6.257707801,5.835042456,6.876507481,6.062222301,8.831742855,11.63480882,11.79391434,10.98749442,13.75982988,17.1240747,22.22861049,23.51118543,24.52284116,26.6267493,15.46704535,20.28832255,24.54622161,22.65676857,19.27231219,17.1737817,9.95448393,9.613444432,12.63173988,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,69.46716001,68.21198548,67.31459466,65.25605939,63.17755171,60.90790232,58.76573557,56.59018596,55.74006833,54.93288839,54.16981707,53.3133996,52.48571853,52.03459703,51.62959284,51.26729732,50.87727494,50.54338737,50.31699441,50.10461044,49.90011793,49.72375747,49.53907403,49.11124447,48.64753939,48.11455247,47.44006889,46.72996064,
Arab World,ARB,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,34.90335083,34.21276093,34.43849182,33.21260071,34.11859894,33.65071869,32.23044968,31.34959984,30.65261078,29.5782299,28.48570061,27.77883911,26.74667931,25.76326942,24.59535027,23.55385017,23.32118988,22.86029053,21.91859055,20.40039063,20.14348984,20.26832008,17.47147942,20.97740936,19.27582932,18.84979057,18.30429077,18.87653923,
Arab World,ARB,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,,,,40.80723953,41.8780098,41.2420311,39.28382111,37.98464966,36.96025848,35.58327103,34.31446075,33.27410889,31.78416061,30.34000015,29.23883057,27.86227036,27.27343941,26.85147095,25.68958092,23.68954086,23.02202034,22.79174995,20.71318054,24.26217079,22.67526054,22.13780022,21.3968792,21.92012024,
Arab World,ARB,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,,,,25.92864037,26.68404007,26.38318062,25.4795208,24.99205017,24.59923935,23.80816078,22.88611031,22.50952911,21.91394997,21.37254906,20.14216995,19.42510986,19.53862,19.03783989,18.30179024,17.24319077,17.38092041,17.84873009,14.36682987,17.83119965,16.01843071,15.70032024,15.34430981,15.96203995,
